family,artifact,summary,generator,reference,manuscript_role,readiness_status,artifact_exists,summary_exists,required_next_step,selected_metrics_json
closed_duct_profiles,analytic_velocity_profiles.png,straight_duct_profile_comparison_summary.json,examples/straight_duct_profile_comparison.py,Hartmann/Shercliff/Hunt analytical profiles and FreeMHD/Ni wall model,Analytical velocity-profile verification with release L2 gates,ready,True,True,"Add the final paper table with mesh, Ha, wall conductance, and all profile errors.","{""max_l2_error"": 0.011476715394447208}"
closed_duct_ladder,closed_channel_validation_ladder.png,straight_duct_validation_ladder_summary.json,examples/straight_duct_validation_ladder.py,FreeMHD paper closed-channel analytical solution files,Mesh and Hartmann-number validation ladder,ready,True,True,Keep as a release gate and cite the analytical source in the figure caption.,{}
freemhd_observable_parity,freemhd_closed_channel_observable_parity.png,freemhd_closed_channel_observable_parity_summary.json,examples/freemhd_closed_channel_observable_parity.py,Bundled FreeMHD paper slices and local FreeMHD/OpenFOAM rerun path,"Observable-level parity for u, phi, J, JxB and pressure-gradient fields",ready_with_documented_offenders,True,True,Add current-vector/streamline panels and keep offender rows in the paper supplement.,"{""ha"": 20}"
wham_blanket_pressure,wham_blanket_pressure_sweep.png,wham_blanket_pressure_sweep_summary.json,examples/wham_blanket_flow_demo.py,Liquid-metal blanket pressure-drop design literature,Cumulative pressure drop along station and field-strength scaling,reduced_design_gate,True,True,"Add velocity, radius, Ha, N, Dean-number nondimensional sweeps.","{""field_scales"": [4.0, 6.0, 8.0, 10.0], ""pressure_drop_kpa"": [6.740547216316604, 14.984213189151184, 26.525345551119656, 41.363944302221874]}"
wham_blanket_transient,wham_blanket_transient_flow.png,wham_blanket_transient_flow_summary.json,examples/wham_blanket_flow_demo.py,Curved-pipe MHD and Dean-flow literature,"Startup, pressure approach to steady state, and bend inboard/outboard skew",reduced_design_gate,True,True,Replace the bounded Dean-skew proxy with a resolved secondary-flow solve.,"{""final_bend_outboard_to_inboard_ratio"": 1.0780454124160903, ""final_mean_velocity_m_per_s"": 0.1998165136560564, ""final_pressure_drop_kpa"": 26.36486771051269, ""steady_state_reached"": true}"
wham_blanket_autodiff,wham_blanket_autodiff_research.png,wham_blanket_autodiff_research_summary.json,examples/wham_blanket_autodiff_research_demo.py,Differentiable reduced pressure-budget model,Coil-separation sensitivity and field-scale inverse design,ready_reduced_autodiff,True,True,Repeat with the resolved curved-pipe operator once available.,"{""coil_separation_m"": 1.9600000381469727, ""field_scale"": 8.0, ""hydraulic_pressure_drop_kpa"": 0.08051440864801407, ""mean_velocity_m_per_s"": 0.20000000298023224, ""mhd_pressure_drop_kpa"": 26.379735946655273, ""pressure_drop_kpa"": 26.525344848632812}"
li_aln_wall_stack,li_aln_wall_stack_phase0_2.png,li_aln_wall_stack_phase0_2_summary.json,examples/li_aln_wall_stack_phase0_2.py,"Thin-wall conductance, coated-wall leakage, and Li/AlN wall-stack study plan","Li/AlN unit audit, nested-wall QA, reduced conductance sweep, and pinhole sensitivity",ready_reduced_wall_stack,True,True,Add true multilayer geometry and FreeMHD/code-to-code limiting-case comparisons.,"{""hartmann_number"": 8944.27190999916, ""inductionless_assumption_pass"": true, ""magnetic_reynolds_number"": 0.008042477193189871, ""max_c_eff_10pct"": 0.1, ""max_pinhole_10pct"": 1.0, ""reynolds_number"": 2500.0, ""wall_layer_count"": 2, ""wall_mesh_resolution_pass"": true}"
magnetic_obstacle,magnetic_obstacle_benchmark.png,magnetic_obstacle_benchmark_summary.json,examples/magnetic_obstacle_benchmark.py,Cuevas-Smolentsev-Abdou and Votyakov magnetic-obstacle observables,"Localized-field response, wake recovery, pressure proxy, and current closure",external_reference_open,True,True,Fill external reference observables and replace the matched no-field baseline.,"{""current_proxy_peak"": 1.778514193132694, ""divergence_to_field_ratio"": 0.016854412843326394, ""field_velocity_correlation"": -0.8257316271956454, ""max_abs_divergence"": 0.47621532386199306, ""max_charge_balance_residual"": 3.0163805481153716e-12, ""mean_field_magnitude"": 7.266127471680375, ""obstacle_velocity_deficit"": 2.4128815893583594e-05, ""rms_divergence"": 0.12246631217993645}"
q2d_turbulence,q2d_turbulence_observables.png,q2d_wall_bounded_validation_summary.json,examples/q2d_wall_bounded_validation.py,Sommeria-Moreau and Potherat quasi-2D MHD turbulence literature,"Energy, spectrum, Hartmann friction, and nonlinear activity observables",external_reference_open,True,True,Add external turbulent parity for energy decay and spectra.,"{""amplitude_rel_error"": 0.00014166724297754585, ""decay_rate"": 2.049348022005447, ""l2_error"": 0.000415152063186026, ""linf_error"": 0.0004151520631858514, ""steady_amplitude"": 0.48796006791536656, ""validation_pass"": true}"
bent_pipe_dean,bent_pipe_overview.png,bent_pipe_inductionless_summary.json,examples/bent_pipe_inductionless_demo.py,Curved-pipe Dean-vortex and MHD bend literature,"Curved geometry, local current closure, pressure response, and Dean-skew baseline",resolved_dean_validation_open,True,True,Add a resolved higher-inertia Dean-vortex mesh ladder.,"{""bent_velocity_centroid"": -6.808292862594643e-05, ""curvature_ratio"": 0.125, ""dean_number"": 5.193759475033141e-07, ""dean_vortex_observables_available"": true, ""reynolds_number"": 1.4690170178591267e-06, ""secondary_flow_peak_ratio"": 1.7315973813368122e-17, ""secondary_flow_rms_ratio"": 6.376057438935102e-18, ""straight_velocity_centroid"": -6.808292862594643e-05}"
